index,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
1910,59,200,1,64,27,0,0,87,1,4,6,31,5,70,-7,1,1,58,87,6,4,1,91
1911,88,314,10,103,10,0,0,100,-7,7,8,10,1,30,9,0,0,6,-8,3,1,0,80
1912,85,242,19,103,15,0,0,100,-7,7,8,18,0,19,-8,0,0,18,-8,6,1,0,70
1913,71,163,5,64,42,0,0,95,2,4,6,42,3,24,4,3,3,1,-8,4,1,0,31
1914,59,207,6,68,16,0,0,82,2,4,6,17,2,29,0,2,2,32,-8,5,2,2,64
1915,70,346,3,94,38,1,1,85,23,5,6,40,2,26,0,1,1,36,18,9,2,1,69
1916,67,259,6,91,41,0,0,93,0,4,6,53,1,26,-7,0,0,51,-8,7,1,3,83
1917,71,107,27,62,9,1,1,90,21,6,2,10,0,40,-7,1,1,57,36,3,2,1,100
1918,90,106,28,100,11,0,0,100,-7,7,8,12,0,45,-8,0,0,0,-8,0,1,0,25
1919,83,240,6,94,19,0,0,100,-7,7,8,19,2,47,0,0,0,21,88,3,2,0,83
1920,85,221,2,46,62,0,0,100,-7,7,8,63,6,16,0,2,2,0,-8,4,3,0,21
1921,71,241,13,114,10,0,0,100,-7,7,8,10,0,30,-7,1,1,70,58,5,2,4,88
1922,70,210,20,27,4,0,0,100,-7,7,8,51,0,50,-7,1,1,102,97,2,2,1,100
1923,77,184,5,90,43,1,0,93,-8,6,5,44,1,34,0,3,3,14,-8,9,1,1,77
1924,64,108,6,55,16,3,1,75,40,6,5,21,4,20,0,0,0,53,69,5,4,1,91
1925,59,128,19,64,3,2,0,20,3,3,5,5,0,80,0,0,0,0,90,0,2,-8,67
1926,66,152,5,78,11,2,2,100,-7,6,8,12,1,36,0,1,1,86,64,4,2,1,86
1927,67,183,17,76,36,1,1,97,2,1,3,41,0,16,4,2,2,2,60,2,3,0,36
1928,79,252,12,99,22,0,0,96,59,6,6,23,0,52,0,0,0,34,70,7,2,1,100
1929,79,298,8,87,30,0,0,90,18,6,6,34,2,29,7,0,0,14,18,5,2,0,64
1930,84,168,4,66,15,0,0,100,-7,7,8,43,2,40,0,4,2,3,62,3,2,0,86
1931,54,227,24,106,43,0,0,89,0,4,6,45,0,30,0,11,11,55,10,6,2,3,63
1932,85,177,2,84,30,0,0,100,-7,7,8,35,1,33,-7,2,2,12,74,2,5,0,47
1933,61,61,3,27,7,1,0,75,11,4,5,8,3,38,2,4,4,41,96,2,3,0,83
1934,73,251,2,113,56,0,0,100,-7,7,8,63,4,33,-7,6,6,45,108,16,3,6,76
1935,64,8,7,8,2,0,0,100,-7,7,8,2,2,100,-7,0,0,-8,81,-8,2,-8,100
1936,87,240,8,115,12,0,0,100,-7,7,8,12,1,58,7,0,0,1,91,1,3,0,67
1937,72,114,3,61,17,1,0,72,7,4,5,18,1,28,0,0,0,0,100,2,2,0,33
1938,78,282,7,93,8,0,0,78,22,6,6,9,1,22,-8,0,0,31,-8,3,1,0,83
1939,62,335,2,26,19,0,0,100,-7,7,8,7,7,29,0,2,2,49,-8,6,4,4,67
1940,87,229,4,100,22,0,0,100,-7,7,8,25,2,44,1,2,2,16,83,5,2,0,64
1941,68,180,7,87,54,0,0,100,-7,7,8,58,2,62,0,5,5,77,60,10,4,7,88
1942,63,62,4,20,7,2,2,88,26,6,2,8,4,50,0,1,1,43,77,3,2,0,100
1943,75,172,2,47,10,0,0,100,-7,7,8,11,5,18,0,1,1,32,-8,5,-8,1,83
1944,81,107,6,64,42,0,0,98,-7,6,7,49,2,71,1,1,1,8,63,1,5,0,55
1945,80,161,5,48,10,0,0,90,24,6,6,10,3,50,3,1,1,8,74,2,2,0,67
1946,60,9,3,5,5,0,0,100,-7,7,8,5,5,20,0,7,7,36,-8,2,1,1,80
1947,57,117,3,36,10,0,0,70,3,4,6,10,2,50,1,1,1,98,69,2,3,1,83
1948,85,366,14,109,26,0,0,86,22,6,6,29,0,34,0,2,2,2,-8,2,1,0,33
1949,66,346,5,90,30,1,0,94,24,6,2,31,5,26,0,3,3,65,86,7,3,6,79
1950,84,373,16,107,32,0,0,100,-7,7,8,32,0,38,0,1,1,14,30,7,5,0,67
1951,62,236,18,88,26,0,0,88,10,4,6,45,0,23,2,3,3,49,57,10,2,2,75
1952,88,173,3,104,12,0,0,100,-7,7,8,12,1,33,0,1,1,0,-8,1,1,0,25
1953,88,330,2,93,18,0,0,100,-7,7,8,19,1,32,0,1,1,3,99,6,1,0,64
1954,80,126,8,52,18,0,0,100,-7,7,8,19,4,16,0,1,1,2,74,2,2,0,67
1955,65,271,4,92,24,0,0,92,1,4,6,24,2,42,0,2,2,31,45,8,3,1,73
1956,77,92,5,44,15,0,0,100,-7,7,8,15,3,40,2,3,3,40,53,2,4,0,67
1957,77,198,6,71,47,0,0,100,-7,6,7,47,2,36,0,3,3,18,75,5,3,0,50
1958,69,214,3,82,27,0,0,87,32,6,6,30,2,50,0,2,2,94,76,2,3,2,100
1959,74,263,4,87,29,0,0,100,-7,7,8,29,3,41,0,0,0,31,82,6,5,1,73
1960,68,115,13,48,15,0,0,80,12,6,6,15,0,33,6,0,0,2,51,3,3,0,78
1961,72,304,17,112,31,1,1,94,8,4,3,32,0,31,0,1,1,35,56,5,2,1,62
1962,83,215,6,83,23,0,0,100,-7,7,8,23,2,61,1,2,2,13,-8,3,3,1,75
1963,79,214,4,85,37,0,0,97,8,4,6,15,2,27,4,2,2,6,78,3,3,0,38
1964,80,169,23,76,12,0,0,92,19,6,6,12,0,0,0,1,1,5,-8,3,-8,0,30
1965,79,-8,4,81,18,0,0,94,43,6,6,0,1,17,0,3,3,0,65,1,3,0,50
1966,64,244,1,117,35,2,1,90,3,4,4,42,4,60,1,9,9,75,77,6,5,3,100
1967,69,261,2,88,23,0,0,84,0,4,6,26,6,24,2,2,1,16,100,2,3,0,38
1968,86,169,8,141,24,0,0,100,-7,7,8,6,1,8,1,2,1,9,-8,1,1,0,18
1969,80,214,8,74,17,0,0,100,-7,7,8,28,1,35,0,1,1,31,83,3,2,1,56
1970,84,143,3,72,22,0,0,100,-7,7,8,22,1,50,4,1,1,0,70,0,3,-8,50
1971,57,164,11,78,15,1,0,71,1,4,5,17,1,41,0,0,0,27,70,2,3,0,45
1972,67,282,11,108,37,0,0,95,3,4,6,40,1,43,0,1,1,68,58,5,3,2,80
1973,75,212,6,52,16,1,0,88,20,6,5,24,2,53,-7,2,2,16,44,2,2,-8,44
1974,43,137,2,46,5,5,3,55,3,3,2,11,3,55,0,3,3,94,88,2,2,2,80
1975,73,138,2,80,39,0,0,100,-7,7,8,12,5,28,0,3,3,28,91,6,5,2,69
1976,67,48,18,38,2,1,0,67,6,3,5,3,0,0,-7,3,3,5,-8,1,-8,0,50
1977,68,110,9,41,32,0,0,100,-7,7,8,32,1,25,0,1,1,92,65,3,2,2,71
1978,90,528,1,210,10,0,0,100,-7,7,8,11,1,18,2,1,1,2,-8,2,1,0,75
1979,66,38,1,21,9,1,1,100,-7,7,8,11,3,20,0,4,4,24,-8,4,-8,1,75
1980,85,372,13,90,27,0,0,100,-7,7,8,19,0,26,2,2,2,1,26,2,2,0,33
1981,75,141,2,83,16,0,0,94,32,6,6,18,1,39,1,2,2,36,53,3,3,1,54
1982,68,460,2,162,28,2,1,90,40,0,5,31,2,27,2,1,1,25,75,6,4,0,61
1983,76,353,2,92,40,0,0,95,69,6,6,42,2,29,4,1,1,33,45,2,2,0,80
1984,84,380,12,159,21,0,0,100,-7,7,8,21,0,10,-7,0,0,13,61,3,1,1,50
1985,59,209,13,85,38,1,0,78,3,4,5,37,0,53,0,7,7,88,28,4,5,2,100
1986,70,88,16,48,12,0,0,100,-7,7,8,12,0,8,0,1,1,79,89,7,1,2,89
1987,72,377,5,185,32,0,0,91,15,6,6,32,1,28,4,1,1,24,-8,8,1,2,53
1988,70,122,2,43,13,0,0,100,-7,7,8,15,2,36,2,1,1,52,46,4,3,2,88
1989,82,368,0,89,23,0,0,96,43,6,6,26,1,54,11,0,0,16,83,2,1,1,38
1990,77,206,5,80,27,0,0,96,31,6,6,28,2,43,0,2,2,31,60,5,2,0,70
1991,70,218,3,69,24,1,1,88,36,5,2,33,3,62,0,5,5,69,83,8,4,1,100
1992,71,141,3,45,40,1,0,98,20,6,5,41,8,61,-8,0,0,33,121,2,14,1,73
1993,69,101,2,54,23,1,1,88,20,6,2,26,6,50,0,3,2,27,57,1,7,0,57
1994,86,101,14,56,12,0,0,100,-7,7,8,12,0,42,0,0,0,0,-8,3,1,0,83
1995,72,226,8,80,26,0,0,96,36,6,6,27,3,26,9,0,0,44,78,4,3,1,75
1996,78,479,12,128,30,0,0,90,13,6,6,30,0,30,11,0,0,6,50,6,5,1,61
1997,59,208,4,62,27,0,0,82,3,4,6,28,3,43,0,1,1,47,90,8,3,4,100
1998,63,114,4,66,13,2,2,76,10,3,2,17,1,47,0,2,2,0,90,0,2,-8,50
1999,73,221,4,79,26,0,0,96,10,4,6,27,3,27,0,2,2,18,69,2,3,1,45
2000,89,207,121,150,7,0,0,100,-7,7,8,7,0,14,-8,0,0,2,-8,2,-8,0,100
2001,61,284,6,81,9,0,0,90,6,4,6,10,2,0,0,4,4,86,-8,4,-8,2,67
2002,70,56,8,26,8,0,0,88,11,4,6,8,1,38,0,1,1,3,82,1,3,0,100
2003,84,131,14,84,22,0,0,100,-7,7,8,22,0,36,19,0,0,9,37,2,4,0,100
2004,76,201,8,71,38,0,0,97,51,6,6,39,5,36,0,0,0,0,47,1,5,0,35
2005,82,189,2,86,13,0,0,100,-7,7,8,14,3,57,-7,3,3,18,81,2,3,1,71
2006,78,221,4,108,13,0,0,100,-7,7,8,15,1,40,3,4,4,90,-8,2,2,2,80
2007,72,148,4,38,15,0,0,100,-7,7,8,15,3,33,0,4,4,16,96,4,2,1,100
2008,74,181,1,65,61,0,0,100,-7,6,7,65,5,35,-7,0,0,12,80,9,6,2,58
2009,65,166,11,63,21,1,1,83,25,5,2,30,1,35,-7,0,0,58,4,5,2,1,88
2010,77,272,9,121,20,0,0,100,-7,6,8,20,1,25,0,0,0,42,88,8,2,1,77
2011,60,154,9,53,56,0,0,100,-7,7,8,58,1,41,0,1,1,67,87,5,3,4,80
2012,81,170,2,65,23,0,0,92,64,6,6,24,1,33,0,0,0,11,-8,2,2,0,33
2013,60,286,3,81,20,0,0,90,2,4,6,21,4,70,1,2,2,55,72,4,8,1,100
2014,59,277,9,95,16,2,1,76,0,4,5,18,1,12,3,1,1,25,80,6,1,1,54
2015,82,205,5,68,15,0,0,87,19,6,6,15,3,33,-8,0,0,5,-8,3,1,0,40
2016,66,-8,4,17,4,0,0,100,-7,7,8,5,2,80,4,4,4,97,196,1,2,1,75
2017,72,153,5,76,24,1,1,90,9,4,6,50,2,66,-7,1,1,14,23,4,8,0,71
2018,61,187,6,54,26,0,0,88,47,6,6,26,1,42,0,1,1,66,76,3,3,2,75
2019,86,180,32,98,13,0,0,100,-7,7,8,3,0,31,-8,0,0,3,-8,2,1,0,57
2020,63,27,2,14,5,0,0,100,-7,7,8,6,3,50,1,2,2,57,78,2,2,1,80
2021,78,125,5,63,19,0,0,100,-7,7,8,20,1,55,-8,0,0,39,66,4,4,1,100
2022,72,221,1,62,20,1,0,95,57,6,5,22,2,14,0,2,2,16,-8,4,1,0,43
2023,83,166,2,65,18,0,0,95,57,6,6,19,3,32,-7,1,1,12,64,2,3,0,63
2024,56,308,7,98,23,8,7,75,12,0,2,28,1,46,-7,5,5,5,37,1,2,-8,43
2025,86,307,24,131,14,0,0,100,-7,7,8,15,0,0,0,0,0,10,-8,2,-8,0,29
2026,85,216,6,66,20,0,0,100,-7,7,8,20,2,45,2,1,1,4,75,3,2,1,45
2027,57,225,13,133,24,5,3,71,8,3,2,28,0,36,-7,0,0,94,36,5,3,-8,90
2028,54,39,6,19,6,7,7,100,-7,0,8,15,1,75,0,2,2,92,86,2,3,2,100
2029,76,203,6,79,14,0,0,93,69,6,6,14,1,29,5,0,0,25,-8,3,1,1,80
2030,75,129,3,70,22,0,0,96,44,6,6,23,3,13,-7,1,1,47,11,3,2,0,71
2031,61,215,28,105,18,4,2,68,11,4,4,25,0,44,2,2,2,34,89,2,2,0,71
2032,83,128,5,78,44,0,0,100,-7,7,8,44,1,14,2,1,1,8,85,7,2,0,36
2033,57,152,5,60,16,2,0,70,1,4,5,20,2,50,2,10,10,46,80,2,6,1,80
2034,85,-8,5,79,5,0,0,100,-7,7,8,0,1,40,1,2,2,19,-8,3,-8,1,100
2035,85,280,3,106,22,0,0,95,70,6,6,22,2,32,3,3,3,1,17,1,2,0,50
2036,64,164,84,141,1,1,1,50,16,6,2,8,0,100,-7,0,0,-8,-8,-8,1,-8,100
2037,52,281,3,108,13,4,3,88,1,3,5,18,2,53,1,3,3,100,100,5,4,5,100
2038,79,300,23,87,29,0,0,80,12,6,6,30,0,47,-8,0,0,0,-8,0,1,0,25
2039,84,295,2,82,34,0,0,100,-7,7,8,37,4,22,3,1,1,4,-8,2,1,0,30
2040,67,134,6,17,8,0,0,100,-7,7,8,49,5,25,3,2,2,61,58,4,2,1,75
2041,69,464,4,107,32,0,0,100,-7,7,8,33,1,48,3,1,1,90,80,7,5,6,87
2042,66,121,1,36,6,0,0,100,-7,7,8,7,5,29,0,3,3,104,100,3,2,3,100
2043,65,321,6,114,27,1,1,82,17,5,3,28,3,32,0,0,0,66,-8,6,1,1,88
2044,76,254,1,102,36,3,3,90,25,6,3,40,5,35,0,1,1,3,68,6,4,0,59
2045,64,179,1,37,14,0,0,100,-7,7,8,22,9,40,0,5,5,52,100,5,6,2,73
2046,74,311,3,102,39,0,0,100,-7,7,8,41,2,20,3,2,2,15,53,9,1,1,48
2047,85,165,10,90,16,0,0,100,-7,7,8,16,1,31,0,2,2,0,-8,1,2,0,50
2048,77,324,7,76,31,0,0,100,-7,7,8,31,5,35,1,3,3,0,65,0,2,0,33
2049,84,165,3,72,48,0,0,100,-7,7,8,51,6,45,-7,1,1,9,100,4,4,0,53
2050,79,249,12,82,41,0,0,100,-7,7,8,43,0,12,5,0,0,8,46,18,4,1,69
2051,78,182,5,63,22,0,0,91,60,6,6,22,1,36,-7,2,2,21,95,2,2,-8,100
2052,62,275,6,99,21,1,1,91,12,6,6,22,1,55,15,0,0,87,71,6,5,5,92
2053,79,439,15,142,17,2,2,89,68,6,3,38,0,11,15,0,0,3,-8,5,-8,0,50
2054,65,79,9,40,11,1,0,77,8,4,5,13,1,46,0,2,2,0,96,0,2,-8,75
2055,83,221,3,76,33,0,0,100,-7,7,8,35,3,21,4,1,1,7,61,3,3,0,29
2056,66,83,1,43,29,0,0,100,-7,7,8,30,6,23,0,7,7,29,61,7,5,3,50
2057,59,166,36,102,4,4,1,33,7,3,2,9,0,33,13,0,0,110,-8,1,1,-8,100
2058,89,233,3,118,35,0,0,100,-7,7,8,36,4,33,15,0,0,0,-8,4,-8,0,33
2059,61,150,5,54,12,0,0,77,0,4,6,13,3,62,0,3,3,81,69,4,4,1,100
2060,82,182,8,70,25,0,0,100,-7,7,8,26,1,8,0,2,2,6,-8,2,1,0,30
2061,88,166,17,84,12,0,0,100,-7,7,8,12,0,17,13,0,0,0,-8,0,1,0,25
2062,77,142,4,71,33,0,0,100,-7,7,8,33,2,55,1,2,2,0,78,2,5,0,78
2063,78,130,4,64,22,0,0,100,-7,7,8,22,1,18,-7,5,5,10,-8,3,-8,1,43
2064,70,175,2,113,39,0,0,93,69,5,6,21,3,23,2,1,1,45,-8,6,-8,0,60
2065,68,220,9,69,27,0,0,100,-7,7,8,27,3,44,0,2,2,95,59,4,4,2,100
2066,67,117,1,46,10,0,0,92,13,6,6,12,2,42,-7,1,1,60,55,3,2,2,71
2067,85,112,20,70,11,0,0,100,-7,7,8,11,0,73,0,0,0,12,-8,1,1,0,100
2068,61,270,6,81,44,0,0,98,1,4,6,46,3,50,5,0,0,50,85,6,5,3,73
2069,59,129,15,75,2,1,1,50,6,4,4,4,0,50,0,0,0,58,65,1,2,-8,100
2070,86,167,5,65,46,0,0,100,-7,7,8,47,4,20,4,1,1,2,-8,1,2,0,13
2071,63,66,7,22,20,0,0,100,-7,7,8,16,4,10,4,1,1,47,38,8,2,1,79
2072,66,120,3,60,23,1,0,83,22,5,5,30,2,17,-7,2,1,44,70,4,2,0,67
2073,65,43,2,26,15,1,1,100,-7,7,8,17,2,25,0,4,4,31,83,5,1,0,75
2074,77,112,15,67,12,0,0,100,-7,7,8,13,0,8,0,0,0,50,-8,2,1,2,38
2075,86,168,15,85,33,0,0,97,51,6,6,34,0,38,-7,0,0,3,-8,3,2,0,56
2076,87,215,14,63,20,0,0,96,31,6,6,25,0,32,0,1,1,0,-8,1,1,0,20
2077,75,360,4,68,42,0,0,100,-7,7,8,22,3,14,0,1,1,11,79,10,2,0,48
2078,70,112,7,51,27,1,0,96,79,5,5,28,3,36,0,0,0,49,85,7,3,2,83
2079,64,173,12,78,24,1,0,73,5,4,5,26,0,42,0,2,1,43,99,4,9,1,74
2080,78,167,8,84,29,0,0,100,-7,7,8,43,3,30,0,1,1,24,84,6,4,0,71
2081,90,230,13,73,11,0,0,100,-7,7,8,13,0,62,0,0,0,1,71,1,4,0,71
2082,72,86,6,45,15,0,0,87,25,6,6,16,3,38,0,2,2,33,-8,4,-8,0,67
2083,66,109,7,52,3,2,2,80,-8,6,6,5,1,40,0,4,4,-8,-8,-8,1,-8,100
2084,59,84,11,47,10,2,0,69,10,4,5,13,1,46,10,0,0,69,75,4,2,2,86
2085,57,317,2,93,21,3,3,76,1,0,2,26,1,32,-7,5,5,62,-8,4,2,2,64
2086,71,71,2,39,28,0,0,97,11,4,6,32,2,13,0,0,0,1,79,3,2,1,26
2087,89,221,3,74,15,0,0,100,-7,7,8,24,2,47,2,2,2,4,99,2,1,0,60
2088,55,138,6,43,3,0,0,50,73,5,6,4,1,50,0,2,2,131,90,1,1,-8,100
2089,65,483,0,84,35,0,0,97,41,6,6,38,5,21,0,4,4,42,21,9,2,1,65
2090,73,186,7,73,30,1,0,87,27,6,5,31,1,19,0,1,1,69,25,3,2,1,56
2091,74,207,3,72,43,0,0,100,-7,7,8,43,3,35,0,1,1,10,53,10,2,0,65
2092,60,21,9,13,3,1,1,100,-7,6,8,3,2,33,-7,0,0,94,-8,2,1,2,100
2093,84,152,6,61,18,0,0,100,-7,7,8,5,2,56,-7,0,0,3,-8,2,4,0,86
2094,62,185,9,52,14,1,0,76,3,4,5,17,1,65,0,5,5,26,70,3,4,1,100
2095,66,331,6,94,24,0,0,92,45,6,6,26,7,25,-7,0,0,56,91,6,3,3,64
2096,76,104,8,64,11,1,1,92,79,6,2,12,1,42,0,0,0,12,-8,1,1,0,60
2097,76,264,3,113,15,1,1,94,41,6,2,16,2,38,5,2,1,0,69,0,2,0,38
2098,57,179,12,70,13,2,1,75,0,3,4,16,0,44,0,0,0,19,87,4,2,0,75
2099,65,377,3,113,34,0,0,97,18,6,6,34,2,44,0,1,1,45,68,8,4,2,71
2100,68,177,1,65,43,0,0,96,12,6,6,48,3,50,-7,2,2,19,25,5,5,1,71
2101,84,380,10,100,15,0,0,100,-7,7,8,51,1,27,5,0,0,0,87,1,2,0,33
2102,71,439,1,186,19,1,1,100,-7,0,8,22,1,23,6,0,0,3,-8,2,1,0,43
2103,91,395,30,133,13,0,0,100,-7,7,8,13,0,15,-7,0,0,4,-8,2,1,0,33
2104,59,30,2,15,10,0,0,100,-7,7,8,12,1,25,0,3,3,62,32,6,2,3,89
2105,67,332,9,122,28,1,0,88,23,6,5,33,2,55,0,0,0,60,77,4,5,2,77
2106,63,119,4,48,23,0,0,96,45,6,6,26,1,62,0,1,1,99,-8,2,-8,2,100
2107,68,350,14,88,10,4,3,92,79,0,5,13,0,42,0,3,3,29,-8,4,1,0,83
2108,67,404,19,133,17,0,0,100,-7,7,8,18,0,50,0,1,1,81,76,4,3,3,100
2109,71,269,4,93,26,0,0,96,9,4,6,31,3,23,3,1,1,46,-8,5,1,2,55
2110,84,337,1,84,36,0,0,100,-7,7,8,44,3,16,0,2,2,3,100,6,2,0,53
2111,57,188,16,83,13,1,0,79,3,3,5,14,0,29,16,0,0,98,95,3,3,3,86
2112,65,268,2,77,40,1,1,98,49,6,2,42,6,24,3,1,1,62,60,7,3,3,83
2113,69,215,11,69,24,1,1,96,26,6,2,28,1,21,0,1,1,38,72,1,2,1,50
2114,87,196,30,117,19,0,0,100,-7,7,8,20,0,30,0,0,0,7,-8,5,-8,-8,71
2115,88,232,15,110,28,0,0,100,-7,7,8,28,0,32,-8,0,0,5,72,3,2,0,63
2116,89,342,25,110,8,0,0,100,-7,7,8,8,0,63,-8,0,0,0,-8,0,-8,-8,0
2117,69,57,2,27,14,0,0,100,-7,7,8,15,5,47,0,0,0,46,97,6,2,2,89
2118,83,50,15,27,8,0,0,100,-7,7,8,9,0,63,-7,1,1,10,90,2,2,0,80
2119,88,217,7,94,12,0,0,100,-7,7,8,12,1,17,-8,0,0,6,-8,3,-8,0,38
2120,71,313,22,107,30,0,0,100,-7,7,8,32,0,53,0,1,1,19,15,3,4,0,89
2121,68,222,2,93,32,0,0,97,16,6,6,37,1,35,0,2,2,62,-8,5,1,2,60
2122,83,272,2,100,27,0,0,100,-7,7,8,29,2,31,3,1,1,8,-8,8,1,1,75
2123,74,182,7,84,27,0,0,96,5,6,6,28,2,33,15,0,0,8,87,6,3,0,64
2124,62,181,9,70,9,1,0,60,6,4,5,10,1,60,-7,1,1,64,11,2,2,1,100
2125,82,192,8,88,17,0,0,94,81,6,6,17,1,35,-7,0,0,0,92,1,2,0,38
2126,60,185,6,45,14,2,2,93,-8,6,6,15,3,67,0,2,2,98,95,3,3,1,100
2127,62,181,6,52,21,0,0,100,-7,7,8,21,2,38,0,2,2,81,74,4,4,2,62
2128,68,252,21,114,15,1,0,88,5,4,5,17,0,53,-7,0,0,23,-8,2,3,0,83
2129,65,111,19,63,23,1,1,92,25,6,2,25,0,64,0,4,4,72,114,1,8,0,90
2130,75,94,1,24,10,0,0,100,-7,7,8,11,5,27,2,4,4,18,66,3,2,0,63
2131,72,156,8,61,21,0,0,95,-8,6,6,21,2,52,-7,1,1,67,-8,7,-8,2,100
2132,83,140,4,75,27,0,0,100,-7,7,8,29,4,52,0,3,2,12,100,2,3,0,71
2133,79,317,16,144,21,0,0,86,29,6,6,17,0,14,-7,2,2,19,-8,5,-8,1,38
2134,87,405,19,124,25,0,0,100,-7,7,8,25,0,20,0,0,0,9,-8,4,1,1,63
2135,83,139,22,72,18,0,0,100,-7,7,8,16,0,22,-8,0,0,20,82,1,2,0,43
2136,82,213,3,79,9,0,0,100,-7,7,8,9,1,22,0,2,2,42,54,2,2,1,50
2137,59,190,11,132,7,0,0,86,2,4,6,7,1,14,0,1,1,94,-8,2,-8,2,100
2138,72,435,48,48,1,0,0,0,25,6,6,24,0,100,0,2,2,-8,-8,-8,1,-8,100
2139,86,232,1,75,21,0,0,100,-7,7,8,23,2,17,0,2,2,1,51,2,2,0,29
2140,54,67,11,23,15,0,0,69,1,4,6,16,6,25,6,0,0,76,87,6,2,0,90
2141,76,121,12,55,15,0,0,100,-7,7,8,16,0,56,0,0,0,56,60,2,3,1,100
2142,56,119,11,58,21,1,1,86,11,0,6,21,1,14,-7,0,0,47,-8,5,-8,3,67
2143,90,363,15,84,37,0,0,100,-7,7,8,39,0,3,0,0,0,1,-8,3,1,0,15
2144,69,87,5,35,15,0,0,67,12,6,6,15,2,60,0,2,2,0,76,1,2,-8,50
2145,59,27,1,13,14,0,0,100,-7,7,8,15,8,40,-7,1,1,49,71,8,2,1,91
2146,86,362,23,174,5,1,0,83,69,6,5,6,0,17,0,0,0,0,-8,1,-8,-8,33
2147,86,194,6,106,17,0,0,94,49,6,6,17,2,18,0,1,1,22,-8,3,1,0,40
2148,76,82,4,38,15,0,0,94,-8,6,6,16,3,31,0,1,1,13,95,2,2,1,36
2149,82,180,37,106,16,0,0,94,35,6,6,16,0,13,0,2,2,3,-8,2,1,0,38
2150,84,163,4,56,36,0,0,100,-7,7,8,36,2,17,12,0,0,14,88,3,2,1,46
2151,81,320,0,92,56,0,0,100,-7,7,8,61,5,16,1,4,4,4,56,9,3,1,41
2152,76,186,1,83,21,0,0,96,11,4,6,25,4,28,-7,2,2,12,-8,3,-8,0,44
2153,86,285,6,98,21,0,0,100,-7,7,8,23,1,48,0,3,3,14,86,2,2,0,57
2154,70,158,7,77,25,0,0,96,21,6,6,39,1,12,-7,2,2,15,-8,8,1,1,67
2155,68,32,10,17,4,0,0,100,-7,7,8,4,1,50,3,4,4,13,92,1,2,-8,75
2156,80,245,3,88,44,0,0,98,58,6,6,45,2,27,5,0,0,21,81,4,3,0,100
2157,59,123,4,66,32,1,1,88,6,4,6,32,2,31,-7,0,0,36,76,5,4,2,56
2158,70,315,3,108,7,2,1,80,48,6,4,10,2,30,0,2,2,94,-8,2,1,1,100
2159,66,167,1,34,29,0,0,100,-7,7,8,34,11,50,1,3,3,41,91,4,7,2,79
2160,70,108,2,51,45,0,0,98,10,4,6,49,7,65,7,0,0,23,82,2,3,0,50
2161,66,42,3,15,6,1,1,86,22,6,2,7,3,43,-7,1,1,0,95,1,2,-8,75
2162,78,295,9,91,28,0,0,100,-7,7,8,28,1,4,0,1,1,23,-8,12,-8,1,71
2163,79,150,5,43,25,0,0,100,-7,7,8,25,5,60,0,0,0,18,90,2,5,0,47
2164,75,235,13,139,26,1,1,100,-7,6,8,44,0,35,-7,0,0,13,-8,2,1,0,57
2165,56,368,10,44,25,0,0,92,4,4,6,40,1,16,9,0,0,41,74,10,3,2,65
2166,90,230,9,84,26,0,0,100,-7,7,8,28,2,57,9,0,0,1,85,1,3,0,44
2167,74,-8,3,93,19,0,0,90,33,6,6,21,3,43,-7,2,2,34,78,4,3,1,64
2168,65,143,7,85,13,0,0,93,11,4,6,14,2,43,0,0,0,73,76,3,3,2,100
2169,56,151,19,78,38,2,2,90,7,4,3,42,0,67,1,3,3,86,59,5,3,1,100
2170,59,146,5,60,21,0,0,91,2,4,6,22,2,68,0,4,4,34,46,2,4,2,75
2171,65,61,2,26,13,1,1,100,-7,6,8,14,3,36,1,1,1,57,32,8,3,1,92
2172,61,138,19,62,9,0,0,92,1,4,6,13,0,31,0,2,2,91,61,4,2,4,75
2173,66,458,2,113,8,2,1,73,4,3,4,11,2,36,2,1,1,1,-8,1,-8,0,100
2174,74,196,0,83,29,0,0,94,20,5,6,32,1,41,0,1,1,53,93,2,1,1,50
2175,87,257,8,78,18,0,0,100,-7,7,8,18,2,39,0,1,1,1,87,3,2,0,38
2176,62,153,20,40,5,0,0,20,7,4,6,12,0,100,-7,0,0,-8,75,-8,2,-8,100
2177,84,394,3,134,26,0,0,96,16,6,6,27,3,56,0,1,1,7,80,5,3,0,73
2178,79,128,12,63,14,0,0,100,-7,7,8,14,0,29,0,1,1,28,-8,6,1,1,70
2179,82,308,8,109,38,0,0,100,-7,7,8,44,2,50,3,1,1,1,84,4,1,1,38
2180,67,188,7,123,21,0,0,77,36,6,6,22,3,9,0,1,1,68,-8,5,-8,2,83
2181,76,157,15,93,10,2,1,91,40,6,5,11,0,18,-8,0,0,0,-8,0,-8,0,0
